query_id,query,source,label
1,what is autograd,notes/autograd.rst,f
2,how do I move a tensor to GPU,notes/cuda.rst,f
3,how to use DataLoader with multiple workers,data.md,x
4,what is the capital of France,func.ux_limitations.md,f
5,how do I make chocolate chip cookies,fx.md,f
6,what is the best optimizer for training GANs,notes/modules.rst,f
7,how do I stop my model from memorizing the training data,notes/faq.rst,x
8,How to use multiple GPUs in pytorch,notes/amp_examples.rst,x
9,what is a leaf tensor,notes/autograd.rst,f
10,difference between .size() and .shape,user_guide/torch_compiler/export.md,i
11,what does torch.nn.functional.linear do,meta.md,f
12,how to save and load a model for inference,user_guide/torch_compiler/torch.compiler_aot_inductor.md,e
13,convert numpy array to pytorch tensor,sparse.rst,x
14,how to flatten a tensor before linear layer,named_tensor.md,f
15,implement custom autograd function,notes/extending.func.rst,x
16,how do I batch insert records into a database,data.md,i
17,pytorch vs tensorflow for deep learning,user_guide/pytorch_main_components.md,x
18,my model weights are not changing during training,optim.md,x
19,why is my loss nan,notes/faq.rst,x
20,view vs reshape,tensor_view.rst,f
21,how to update learning rate in middle of training,optim.md,x
