query_id,query,source,label
1,what is autograd,notes/autograd.rst,u
2,how do I move a tensor to GPU,notes/cuda.rst,u
3,how to use DataLoader with multiple workers,data.md,u
4,what is the capital of France,func.ux_limitations.md,u
5,how do I make chocolate chip cookies,fx.md,u
6,what is the best optimizer for training GANs,notes/modules.rst,u
7,how do I stop my model from memorizing the training data,notes/faq.rst,d
8,How to use multiple GPUs in pytorch,notes/amp_examples.rst,p
9,what is a leaf tensor,notes/autograd.rst,u
10,difference between .size() and .shape,user_guide/torch_compiler/export.md,d
11,what does torch.nn.functional.linear do,meta.md,p
12,how to save and load a model for inference,user_guide/torch_compiler/torch.compiler_aot_inductor.md,p
13,convert numpy array to pytorch tensor,sparse.rst,u
14,how to flatten a tensor before linear layer,named_tensor.md,u
15,implement custom autograd function,notes/extending.func.rst,p
16,how do I batch insert records into a database,data.md,p
17,pytorch vs tensorflow for deep learning,user_guide/pytorch_main_components.md,p
18,my model weights are not changing during training,optim.md,d
19,why is my loss nan,notes/faq.rst,p
20,view vs reshape,tensor_view.rst,p
21,how to update learning rate in middle of training,optim.md,p
